,PseudoTime1,PseudoTime2
E1560_39,,0.047619999999999996
E1872_73,,0.09022999999999999
E1950_206,,0.25689
E1016_388,,0.48496000000000006
E1767_485,,0.60652
E407_352,,0.43985
E1666_681,,0.8521299999999999
E180_286,,0.35714
E894_75,0.09272999999999999,
E1026_742,0.9285700000000001,
E74_6,,0.00627
E467_37,,0.045110000000000004
E351_701,,0.8771899999999999
E1391_432,,0.5401
E32_764,,0.95614
E1951_691,,0.86466
E148_217,,0.27068000000000003
E1991_468,,0.58521
E184_470,,0.58772
E890_624,,0.7807
E1253_454,,0.56767
E1384_175,,0.21805
E554_652,,0.81579
E606_69,0.08521000000000001,
E1709_216,,0.26942
E1728_359,,0.44861999999999996
E1193_96,,0.11905
E1792_39,,0.047619999999999996
E1282_614,,0.76817
E1678_747,0.93484,
E155_677,,0.8471200000000001
E1293_565,,0.70677
E1338_593,,0.74185
E1273_337,0.42105,
E862_338,0.42231,
E487_15,,0.01754
E1041_692,,0.8659100000000001
E1019_464,,0.5802
E1875_668,,0.8358399999999999
E70_362,,0.45238
E1074_286,,0.35714
E441_225,,0.2807
E1898_606,,0.75815
E16_337,,0.42105
E477_630,,0.78822
E138_614,,0.76817
E1645_31,,0.03759
E613_480,,0.60025
E800_71,0.08772,
E161_30,0.03634,
E1838_343,,0.42857
E1628_680,,0.85088
E507_420,0.5250600000000001,
E533_264,,0.32957
E1245_364,0.45488999999999996,
E678_656,,0.8208
E1608_544,,0.68045
E1902_162,,0.20175
E928_680,,0.85088
E619_282,,0.35213
E1159_585,,0.73183
E1369_71,,0.08772
E1891_560,,0.7005
E1639_499,,0.6240600000000001
E179_238,,0.29699000000000003
E386_170,,0.21178000000000002
E411_794,,0.9937299999999999
E987_356,,0.44486000000000003
E1195_51,0.06266000000000001,
E1204_435,,0.54386
E1314_482,,0.6027600000000001
E1235_406,,0.50752
E1291_729,,0.91228
E860_298,,0.37218
E991_31,,0.03759
E886_578,,0.72306
E1431_390,,0.48746999999999996
E1430_259,0.32331,
E370_186,,0.23183
E1529_546,,0.68296
E783_552,,0.69048
E1797_257,,0.3208
E1596_470,,0.58772
E1470_416,,0.52005
E1671_757,,0.94737
E1488_353,0.4411,
E193_681,,0.8521299999999999
E290_465,,0.58145
E129_202,,0.25188
E1303_63,,0.07769
E1378_656,,0.8208
E727_426,,0.53258
E1175_383,,0.4787
E693_497,,0.62155
E572_296,,0.36967
E679_347,,0.43358
E1526_231,,0.28822
E298_657,,0.82206
E1487_485,,0.60652
E794_162,0.20175,
E840_783,,0.97995
E1097_82,0.1015,
E1778_232,,0.28947
E335_753,0.9423600000000001,
E1238_765,,0.95739
E1722_569,,0.71178
E61_759,,0.9498700000000001
E64_225,0.2807,
E770_769,,0.96241
E489_41,,0.05013
E1812_607,0.7594,
E225_639,,0.7995
E1855_474,,0.59273
E557_652,,0.81579
E895_708,0.8859600000000001,
E795_700,,0.8759399999999999
E375_565,0.70677,
E124_136,0.16917000000000001,
E1922_742,,0.9285700000000001
E1530_70,,0.08647
E738_266,,0.33208000000000004
E796_673,,0.84211
E755_10,,0.01128
E1062_673,,0.84211
E1207_55,,0.06767000000000001
E213_690,,0.86341
