,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E1619_208,,,,0.2594
E1416_470,,0.58772,,
E1132_642,,,0.8032600000000001,
E812_111,,,0.13784000000000002,
E1736_220,,,,0.27444
E1641_420,,,,0.5250600000000001
E884_154,,,0.19172999999999998,
E474_147,,,0.18295999999999998,
E971_654,,0.8183,,
E1053_701,0.8771899999999999,,,
E1286_280,0.34962,,,
E288_677,,,0.8471200000000001,
E1040_218,,,,0.27193
E1292_235,,0.29323,,
E468_638,,,0.79825,
E550_351,0.4386,,,
E1300_217,,,0.27068000000000003,
E1936_470,,,0.58772,
E1956_245,,,0.30576,
E367_10,0.01128,,,
E904_367,,0.45865,,
E1036_550,,0.68797,,
E592_389,,,,0.48622
E401_139,,,0.17293,
E835_183,,0.22807,,
E1006_45,0.055139999999999995,,,
E765_774,,,0.96867,
E1035_635,,0.7944899999999999,,
E1386_580,,,0.72556,
E202_546,,,0.68296,
E1152_709,,,0.8872200000000001,
E872_226,0.28195,,,
E870_223,,,0.2782,
E854_716,,0.89599,,
E1407_392,,0.48996999999999996,,
E1387_68,,0.08396,,
E932_203,,,0.25313,
E338_97,,0.1203,,
E1750_580,,,0.72556,
E1872_577,,,,0.7218
E1260_451,,,,0.56391
E1625_90,,,0.11152999999999999,
E934_18,,,0.0213,
E1143_678,,,0.8483700000000001,
E643_243,,,0.30326,
E303_150,,0.18672,,
E295_481,,0.6015,,
E1840_156,,,,0.19424
E1538_655,,,0.81955,
E170_385,,0.4812,,
E127_701,,0.8771899999999999,,
E1820_731,0.91479,,,
E1134_349,,,0.43609,
E457_536,,0.67043,,
E1722_287,,0.3584,,
E123_20,,,0.023809999999999998,
E1706_265,,0.33083,,
E990_762,0.95363,,,
E743_593,,0.74185,,
E1618_774,,0.96867,,
E1113_362,,,0.45238,
E1600_771,,,0.96491,
E1746_68,,0.08396,,
E596_787,,,0.9849600000000001,
E1721_392,,0.48996999999999996,,
E699_162,,0.20175,,
E1624_393,,,0.49123,
E1377_253,,,0.31579,
E1602_319,,,,0.3985
E1411_5,,,0.0050100000000000006,
E441_682,0.8533799999999999,,,
E250_232,,0.28947,,
E48_187,,,0.23308,
E243_235,,0.29323,,
E1104_71,,0.08772,,
E1752_543,,0.6792,,
E4_250,,0.31203000000000003,,
E541_264,,0.32957,,
E931_164,,,0.20426,
E430_465,,,0.58145,
E612_264,,,,0.32957
E47_291,,,0.36341,
E1179_632,,,0.79073,
E1098_780,,0.97619,,
E186_529,,,0.66165,
E151_384,,,0.47995,
E269_652,,,0.81579,
E1313_66,,0.08145,,
E1937_689,,,0.86216,
E1971_432,,0.5401,,
E1670_18,0.0213,,,
E319_555,,0.69424,,
E1902_540,,0.6754399999999999,,
E1248_516,,0.64536,,
E321_157,,0.19549,,
E1250_116,,,0.14411,
E736_519,,,,0.64912
E350_622,,,0.7782,
E928_614,,,,0.76817
E214_584,,0.73058,,
E799_145,,,0.18045,
E460_507,,0.6340899999999999,,
E1258_437,,,0.54637,
E585_711,,0.8897200000000001,,
E711_8,,,,0.00877
E881_141,0.17544,,,
E1158_744,,,0.9310799999999999,
E838_751,,,0.93985,
E1107_698,,,0.8734299999999999,
E402_470,,,0.58772,
E1316_755,0.94486,,,
E925_257,,,0.3208,
E1867_437,,,,0.54637
E608_724,0.90602,,,
E1559_165,,,0.20551,
E362_60,,,0.07393,
E49_54,,,0.06642,
E399_446,,0.5576399999999999,,
E1007_77,,,,0.09523999999999999
E1432_387,,0.48371000000000003,,
E846_640,,,,0.80075
E343_60,,,0.07393,
E336_142,,,0.17669,
E1449_29,0.035089999999999996,,,
E1439_734,,0.91855,,
E601_500,,0.62531,,
E983_108,0.13409000000000001,,,
E1548_581,,,,0.72682
E1517_646,,,,0.8082699999999999
E568_670,,,0.83835,
E491_698,,0.8734299999999999,,
E753_277,,0.34586,,
E1516_29,,,0.035089999999999996,
E783_668,0.8358399999999999,,,
E1478_398,0.49749,,,
E36_287,,,0.3584,
E1881_47,0.05764,,,
E906_527,,,,0.65915
E607_172,,0.21429,,
E1195_619,,,0.77444,
E1354_533,,,0.66667,
E1901_133,,0.16541,,
E1801_249,,,0.31078,
E361_193,,0.2406,,
E856_521,,0.65163,,
E356_229,,,0.28570999999999996,
E10_422,,,0.52757,
E172_763,0.95489,,,
E1298_188,,,0.23434000000000002,
E822_512,,0.64035,,
E1315_546,,0.68296,,
E278_234,,0.29198,,
E1826_341,,0.42607,,
E125_629,,0.78697,,
E1604_277,,0.34586,,
E1151_295,,,0.36841999999999997,
E100_179,,0.22305999999999998,,
E1527_32,0.03885,,,
E397_700,,,0.8759399999999999,
E657_138,,0.17168,,
E784_71,,,0.08772,
E1827_107,,,0.13283,
E702_596,,,0.74561,
E1280_34,,0.04135,,
E1637_57,,,0.07017999999999999,
E372_244,,,0.30451,
E1357_599,,0.74937,,
E1237_671,,,0.8396,
E863_457,,0.57143,,
E1303_612,,,0.76566,
E1453_81,,,0.10025,
E1188_30,,,0.03634,
E656_679,,,0.84962,
E13_754,,,0.9436100000000001,
E1187_480,,,0.60025,
E498_350,,0.43733999999999995,,
E692_109,,,0.13534000000000002,
E1828_148,,0.18420999999999998,,
E1342_506,,0.63283,,
E1646_165,,0.20551,,
E911_269,,,0.33584,
E1029_317,,,0.39599,
E960_175,,0.21805,,
E687_61,,,,0.07518999999999999
E1906_41,,,,0.05013
E130_113,,,,0.14035
E548_545,,,,0.6817
E963_303,,,,0.37845
E676_370,,,0.46241000000000004,
E988_304,,,,0.3797
E1671_32,,,0.03885,
E1030_636,,0.79574,,
E1206_606,,,,0.75815
E1075_159,,0.19799,,
E833_464,,,0.5802,
E1829_590,,0.7381,,
E290_88,,0.10902,,
E1862_799,,,,1.0
E1071_367,,,0.45865,
E1821_50,,0.0614,,
E1560_74,,,0.09147999999999999,
E83_548,,0.6854600000000001,,
E691_719,,0.89975,,
E941_632,,,0.79073,
E333_291,,0.36341,,
E866_508,,0.63534,,
E1613_640,,,0.80075,
E1593_477,,,0.59649,
E1800_592,,,,0.7406
E897_687,,,0.85965,
E947_121,,,,0.15037999999999999
E514_607,0.7594,,,
E644_205,,0.25564000000000003,,
E628_621,,,,0.77694
E682_150,,,0.18672,
E1727_634,0.79323,,,
E91_293,,,0.36591,
E1504_476,,,0.59524,
E30_180,,0.22430999999999998,,
E7_318,,0.39724,,
E1471_200,,0.24936999999999998,,
E804_427,,,,0.53383
E1628_419,,0.52381,,
E1401_139,,,0.17293,
E566_186,,,0.23183,
E1058_315,,,,0.39348
E1302_757,0.94737,,,
E1556_634,,,0.79323,
E1307_505,,0.63158,,
E1513_799,,1.0,,
E178_199,,0.24811999999999998,,
E1002_432,0.5401,,,
E1996_361,0.45113000000000003,,,
E1070_512,,0.64035,,
E328_437,,,0.54637,
E894_600,,,,0.75063
E121_358,,,0.44737,
E1197_383,,0.4787,,
E1720_240,,,0.2995,
E1172_311,0.38847,,,
E1352_420,,0.5250600000000001,,
E1135_694,,0.8684200000000001,,
E276_484,,,,0.60526
E1712_5,,,0.0050100000000000006,
E683_270,,0.33709,,
E1092_124,,0.15414,,
E1909_574,,0.71805,,
E1896_672,,,,0.84085
E1768_162,,0.20175,,
E421_359,,0.44861999999999996,,
E880_499,,0.6240600000000001,,
E1610_701,,,,0.8771899999999999
E354_292,,,0.36466,
E1404_484,,,0.60526,
E245_731,,0.91479,,
E17_382,0.47744,,,
E164_576,,,0.72055,
E1265_525,,,0.65664,
E1015_418,,,0.52256,
E888_252,,0.31454,,
E1836_94,,,0.11654,
E1115_597,,,0.74687,
E1813_415,,,,0.5188
E1228_336,0.4198,,,
E1711_366,,0.45738999999999996,,
E211_433,,,0.54135,
E873_744,,,0.9310799999999999,
E458_92,,,,0.11404
E1487_797,,0.99749,,
E1409_183,,0.22807,,
E1013_212,,0.26441,,
E1991_325,,0.40602,,
E623_492,,,0.61529,
E72_209,,,0.26065,
E1413_147,,0.18295999999999998,,
E1125_281,,0.35088,,
E1794_521,,,0.65163,
E815_451,,,0.56391,
E442_578,,,0.72306,
E311_456,,,0.57018,
E1957_513,,0.6416,,
E1579_5,,0.0050100000000000006,,
E978_303,,0.37845,,
E915_290,,,0.36216,
E134_81,,,0.10025,
E1825_298,,,0.37218,
E16_478,,,0.5977399999999999,
E1920_451,,0.56391,,
E1014_740,,0.9260700000000001,,
E1277_645,,,0.80702,
E428_336,,0.4198,,
E1793_109,,0.13534000000000002,,
E678_477,,0.59649,,
E1871_331,,0.41353,,
E1271_758,,,0.94862,
E1012_221,,0.27569,,
E145_527,,,0.65915,
E1235_559,,0.69925,,
E1101_126,,,0.15664,
E818_130,,0.16165,,
E961_80,,,,0.099
E1484_565,,0.70677,,
E1183_341,,,,0.42607
E1673_350,,0.43733999999999995,,
E1046_729,,,0.91228,
E1279_682,,,0.8533799999999999,
E1718_365,,,0.45614,
E1782_138,,,,0.17168
E1567_136,,0.16917000000000001,,
E236_557,,0.6967399999999999,,
E1399_488,,0.61028,,
E1922_92,,,0.11404,
E1760_481,,0.6015,,
E1208_9,,0.010029999999999999,,
E1629_443,,,,0.55388
E885_377,0.47118000000000004,,,
E518_650,,0.81328,,
E750_512,,,0.64035,
E1973_673,,,0.84211,
E1325_733,,0.9172899999999999,,
E371_108,,,0.13409000000000001,
E617_427,,0.53383,,
E76_527,,,0.65915,
E1710_193,0.2406,,,
E1137_43,,0.052629999999999996,,
E841_1,,,0.0,
E1735_21,,,,0.02506
E1379_587,0.73434,,,
E63_307,,,0.38345999999999997,
E1201_392,,,0.48996999999999996,
E1467_234,0.29198,,,
E1771_189,,0.23559000000000002,,
E454_668,,,0.8358399999999999,
E1498_672,,0.84085,,
E673_45,,0.055139999999999995,,
E199_33,,,,0.0401
E463_115,,,0.14286,
E1698_63,,0.07769,,
E719_755,,,,0.94486
E575_566,,,0.70802,
E50_745,,0.9323299999999999,,
E1811_126,,0.15664,,
E489_211,,0.26316,,
E632_19,,,0.02256,
E1090_709,,,0.8872200000000001,
E998_672,,,0.84085,
E1606_40,,0.04887,,
E982_761,,,0.9523799999999999,
E144_346,,,0.43233,
E604_147,,0.18295999999999998,,
E106_207,,0.25815,,
E505_144,,0.1792,,
E1838_395,,0.49373,,
E1730_718,,0.8985,,
E1054_84,,,0.10400999999999999,
E453_464,,,0.5802,
E801_450,,,0.56266,
E411_211,,,0.26316,
E800_704,,,0.88095,
E1917_726,,,0.9085200000000001,
E589_511,,,0.6391,
E706_422,,0.52757,,
E1111_153,,,,0.19047999999999998
E1009_328,,,0.40976999999999997,
E1807_747,0.93484,,,
E1394_155,,,,0.19297999999999998
E562_139,,0.17293,,
E718_652,,0.81579,,
E760_490,,0.61278,,
E248_414,,0.51754,,
E339_165,,0.20551,,
E1660_732,,,,0.91604
E224_226,,,0.28195,
E771_536,,0.67043,,
E1953_15,0.01754,,,
E996_689,,,0.86216,
E1341_296,,,,0.36967
E274_633,,,0.79198,
E1564_167,,,0.20801999999999998,
E1360_90,,,0.11152999999999999,
E770_725,,,,0.90727
E193_612,,,0.76566,
E511_599,,0.74937,,
E1528_17,,0.02005,,
E1285_340,,0.42481,,
E282_46,,0.056389999999999996,,
E1573_465,,,0.58145,
E1609_574,,0.71805,,
E1088_652,,0.81579,,
E907_707,,0.88471,,
E459_376,,,0.46992,
E437_426,,0.53258,,
E1232_395,,0.49373,,
E637_698,,,0.8734299999999999,
E1837_580,,0.72556,,
E1562_394,,0.49248000000000003,,
E664_761,,,0.9523799999999999,
E1761_74,,,0.09147999999999999,
E1631_525,,,0.65664,
E1141_240,,0.2995,,
E689_629,0.78697,,,
E871_347,,0.43358,,
E916_582,,,0.72807,
E220_647,,0.80952,,
E933_361,,,,0.45113000000000003
E175_746,,,0.93358,
E909_356,,0.44486000000000003,,
E1608_37,0.045110000000000004,,,
E591_737,0.9223100000000001,,,
E118_273,,0.34085,,
E976_493,,,0.61654,
E1878_345,,,,0.43108
E213_500,,0.62531,,
E216_642,0.8032600000000001,,,
E741_412,,,0.5150399999999999,
E1649_7,,0.007520000000000001,,
E1997_128,,,0.15915,
E1885_233,0.29073000000000004,,,
E201_187,,,0.23308,
E1455_34,,0.04135,,
E1356_383,,0.4787,,
E322_134,,0.16667,,
E1422_90,,,,0.11152999999999999
E119_358,,,0.44737,
E1882_35,0.04261,,,
E546_110,,0.13659000000000002,,
E1767_12,0.01378,,,
E840_172,,,,0.21429
E1849_782,,,0.9787,
E1128_756,,,0.9461200000000001,
E122_131,,0.16291,,
E5_106,,,,0.13158
E167_291,,0.36341,,
E1288_673,,,0.84211,
E850_604,,0.75564,,
E694_396,,,0.49499,
E327_661,,0.8270700000000001,,
E446_669,,,0.83709,
E1318_649,,0.81203,,
E73_371,,,0.46366,
E1688_250,,,0.31203000000000003,
E1555_371,,0.46366,,
E1877_490,,,0.61278,
E1440_581,,0.72682,,
E1495_71,,0.08772,,
E1080_159,,,0.19799,
E1165_309,,0.38595999999999997,,
E1981_610,,,0.7631600000000001,
E1764_515,,,0.6441100000000001,
E69_193,,0.2406,,
E1772_269,,,0.33584,
E1550_309,0.38595999999999997,,,
E1898_277,,0.34586,,
E478_236,0.29449000000000003,,,
E1253_558,,,0.69799,
E1569_670,,0.83835,,
E827_93,,,0.11529,
E409_356,,,,0.44486000000000003
E1207_500,,0.62531,,
E571_526,,,0.65789,
E1664_640,,,0.80075,
E1940_304,,0.3797,,
E494_623,,,0.77945,
E1343_80,,0.099,,
E1728_234,0.29198,,,
E1105_664,0.83083,,,
E862_418,,,,0.52256
E1506_29,,,,0.035089999999999996
E473_216,,0.26942,,
E842_132,,,0.16416,
E1095_454,,,0.56767,
E553_99,,0.12280999999999999,,
E1951_209,0.26065,,,
E1266_341,,0.42607,,
E31_203,,,,0.25313
E1622_650,,,0.81328,
E285_458,,0.57268,,
E192_400,,,0.5,
E1724_487,,,0.60902,
E1291_24,,,0.02882,
E1773_744,,,0.9310799999999999,
E1233_384,,,0.47995,
E935_78,,,,0.09648999999999999
E1448_724,,0.90602,,
E788_400,,,0.5,
E836_48,,,0.0589,
E223_7,,0.007520000000000001,,
E93_431,,,,0.53885
E556_207,,,0.25815,
E1085_684,,,0.8558899999999999,
E1812_259,,,0.32331,
E176_393,,0.49123,,
E726_786,0.9837100000000001,,,
E1136_620,,,0.77569,
E509_555,,,0.69424,
E364_73,,,0.09022999999999999,
E497_691,,,,0.86466
E905_251,,0.31328,,
E633_247,,,0.30827,
E1374_638,,,0.79825,
E1553_245,,,0.30576,
E1577_61,,,,0.07518999999999999
E1163_252,,,,0.31454
E449_171,,,0.21303000000000002,
E995_334,,0.41728999999999994,,
