,PseudoTime1,PseudoTime2
E567_414,0.8293200000000001,
E1550_169,,0.33735
E573_239,,0.47791000000000006
E74_102,,0.20281
E1747_373,,0.7469899999999999
E501_154,0.30723,
E886_358,,0.71687
E498_478,,0.95783
E833_432,,0.86546
E910_233,0.46586000000000005,
E1093_49,0.09639,
E890_496,,0.99398
E114_186,,0.37149
E1169_295,,0.59036
E1810_399,,0.7992
E1695_133,0.26506,
E1995_420,,0.8413700000000001
E404_484,,0.96988
E906_114,0.22691,
E1327_320,,0.64056
E1605_389,0.77912,
E1594_359,,0.71888
E488_317,,0.63454
E686_108,,0.21486
E665_151,0.3012,
E927_355,,0.7108399999999999
E1372_28,,0.054220000000000004
E1496_415,0.8313299999999999,
E1809_290,0.58032,
E629_432,0.86546,
E1308_67,,0.13253
E1100_441,,0.8835299999999999
E1951_236,,0.47189
E169_182,,0.36345
E1696_161,,0.32129
E1544_332,,0.66466
E1870_300,,0.6004
E54_358,,0.71687
E520_109,0.21686999999999998,
E1346_174,,0.34739000000000003
E391_155,,0.30924
E1736_204,,0.40763
E1218_191,,0.38153000000000004
E222_170,,0.33936
E1213_9,,0.016059999999999998
E1089_277,0.5542199999999999,
E1454_40,0.07831,
E37_370,,0.7409600000000001
E1349_459,,0.9196799999999999
E1620_103,0.20481999999999997,
E1818_5,,0.008029999999999999
E485_138,,0.2751
E735_200,,0.3996
E538_119,,0.23695
E1653_228,,0.45582
E1005_45,,0.08835
E116_417,,0.83534
E1844_36,0.07028,
E1320_394,0.7891600000000001,
E1076_243,,0.48594
E514_166,,0.33133
E1800_100,,0.1988
E631_13,,0.0241
E873_132,,0.26305
E669_277,0.5542199999999999,
E1056_462,0.9257,
E916_146,,0.29116
E1012_314,0.62851,
E1479_491,,0.9839399999999999
E181_162,,0.32329
E1033_458,,0.9176700000000001
E576_197,,0.39357
E1754_162,,0.32329
E1975_140,,0.27912
E174_105,,0.20884
E565_326,0.65261,
E964_494,0.9899600000000001,
E805_307,,0.61446
E1416_82,0.16265,
E1697_64,,0.12650999999999998
E1828_37,,0.07229
E1427_170,,0.33936
E915_43,,0.08434
E765_464,0.9297200000000001,
E639_117,,0.23293000000000003
E364_18,,0.03414
E1714_164,0.32731,
E752_379,,0.7590399999999999
E1445_76,,0.1506
E560_98,0.19478,
E1023_208,,0.41566000000000003
