,PseudoTime1,PseudoTime2
E1826_55,0.10843,
E1688_303,0.60643,
E138_88,0.1747,
E846_374,0.7490000000000001,
E572_403,0.80723,
E844_257,,0.5140600000000001
E103_342,0.68474,
E1822_61,0.12047999999999999,
E1477_250,0.5,
E340_231,,0.46185
E1493_251,0.5020100000000001,
E110_234,0.46787,
E973_104,,0.20683
E1198_234,,0.46787
E365_334,,0.66867
E1937_480,0.96185,
E1277_321,,0.64257
E944_408,0.8172699999999999,
E336_342,,0.68474
E497_177,,0.35341
E1545_178,0.35541999999999996,
E970_152,0.30321,
E368_195,0.38956,
E1955_473,0.9477899999999999,
E954_279,,0.55823
E1445_277,,0.5542199999999999
E1816_384,0.76908,
E1352_387,,0.7751
E1478_488,0.9779100000000001,
E804_160,0.31928,
E511_298,,0.59639
E1344_135,,0.26908000000000004
E1275_468,0.93775,
E1844_123,0.24498000000000003,
E1751_230,0.45983999999999997,
E235_13,0.0241,
E1929_76,0.1506,
E517_421,,0.8433700000000001
E1836_329,0.65863,
E1465_92,0.18273,
E76_2,,0.00201
E328_346,0.69277,
E1_252,0.50402,
E349_192,0.38353000000000004,
E246_369,,0.7389600000000001
E979_67,0.13253,
E1034_152,0.30321,
E1604_133,,0.26506
E464_313,0.62651,
E1977_221,0.44177,
E1541_310,0.62048,
E1041_442,,0.88554
E1270_181,,0.36145
E1652_236,0.47189,
E1247_446,0.8935700000000001,
E1888_108,0.21486,
E291_171,0.34137,
E453_121,0.24095999999999998,
E437_278,0.5562199999999999,
E1866_438,0.87751,
E199_200,0.3996,
E1670_434,0.8694799999999999,
E296_92,0.18273,
E607_105,0.20884,
E960_58,0.11445999999999999,
E673_186,0.37149,
E1358_291,0.58233,
E465_317,0.63454,
E1254_385,0.77108,
E1630_27,,0.05221
E1169_188,0.3755,
E1740_290,0.58032,
E845_400,,0.8012
E1842_192,,0.38353000000000004
E1776_38,0.0743,
E4_263,,0.5261
E487_269,0.53815,
E879_315,0.63052,
E1090_470,0.9417700000000001,
E720_380,0.7610399999999999,
E80_352,0.70482,
E1837_301,0.60241,
E1543_56,,0.11044000000000001
E1873_191,,0.38153000000000004
E1223_43,,0.08434
E526_492,0.9859399999999999,
E202_230,0.45983999999999997,
E1210_139,0.27710999999999997,
E212_16,0.030119999999999997,
E213_424,,0.8494
E819_250,,0.5
E925_257,0.5140600000000001,
E922_318,,0.63655
E1840_170,0.33936,
E785_48,0.09437999999999999,
E51_20,0.03815,
E1116_47,0.09237000000000001,
E928_247,0.49398000000000003,
E929_458,,0.9176700000000001
E1616_33,0.06426,
E605_302,0.60442,
E977_136,,0.27108000000000004
E1265_174,0.34739000000000003,
E70_338,0.67671,
E1829_493,0.98795,
E823_369,,0.7389600000000001
E1341_203,0.40562,
E1303_9,0.016059999999999998,
E214_99,0.19679000000000002,
E197_247,0.49398000000000003,
E1332_229,0.45783,
E1006_17,0.03213,
E1503_364,,0.72892
E1893_494,0.9899600000000001,
E832_433,0.8674700000000001,
E1156_291,0.58233,
E874_15,0.028110000000000003,
E1739_406,0.81325,
E1170_64,0.12650999999999998,
E1239_153,0.30522,
E1241_162,0.32329,
E1685_198,0.39558000000000004,
E985_241,0.48193,
E380_382,0.7650600000000001,
E696_388,0.7771100000000001,
E747_404,0.80924,
E1194_449,0.8996,
E1679_354,0.7088399999999999,
E1628_167,0.33333,
E1588_98,0.19478,
E1317_80,0.15863,
E1727_464,,0.9297200000000001
E387_33,,0.06426
E770_121,,0.24095999999999998
E438_447,,0.8955799999999999
E175_238,0.4759,
E1287_124,,0.24699000000000002
E1181_58,0.11445999999999999,
E13_89,0.17670999999999998,
E699_75,0.14859,
E573_38,,0.0743
E1283_470,0.9417700000000001,
E201_300,0.6004,
E1366_136,0.27108000000000004,
E1342_100,0.1988,
E1100_373,0.7469899999999999,
E916_339,0.67871,
E864_115,0.22891999999999998,
E907_247,0.49398000000000003,
E895_235,0.46988,
E1820_317,0.63454,
E1749_278,0.5562199999999999,
E1714_359,0.71888,
E1626_396,0.7931699999999999,
E1910_296,0.59237,
E669_125,,0.249
E546_354,0.7088399999999999,
E1636_380,0.7610399999999999,
E43_36,0.07028,
E238_315,,0.63052
E653_52,0.10240999999999999,
E1271_299,0.59839,
E1613_90,0.17870999999999998,
E1664_305,0.61044,
E1109_457,0.91566,
E17_290,0.58032,
E556_385,0.77108,
E1403_3,,0.00402
E1791_18,0.03414,
E179_181,,0.36145
E1208_235,0.46988,
E667_415,0.8313299999999999,
E435_450,0.90161,
E1513_189,0.37751,
E1895_85,,0.16867000000000001
E958_112,,0.22289
E1026_251,,0.5020100000000001
E608_242,0.48394,
E609_269,0.53815,
E773_321,0.64257,
E982_39,0.07631,
E903_442,,0.88554
E1786_154,0.30723,
E1264_260,0.52008,
E1894_197,0.39357,
E69_450,0.90161,
E65_255,0.5100399999999999,
E1135_441,0.8835299999999999,
E1638_341,0.6827300000000001,
E1325_56,0.11044000000000001,
E1434_154,0.30723,
E1878_416,0.8333299999999999,
E1187_383,0.76707,
E588_344,0.68876,
E1308_161,0.32129,
E273_160,,0.31928
E133_458,,0.9176700000000001
E591_346,0.69277,
E918_329,0.65863,
E72_15,0.028110000000000003,
E1874_400,0.8012,
E1542_278,0.5562199999999999,
E930_413,0.82731,
E1966_289,,0.57831
E29_470,0.9417700000000001,
E1656_214,0.42771000000000003,
E1608_266,0.53213,
E835_247,0.49398000000000003,
E575_54,0.10643,
E1984_409,0.8192799999999999,
E623_476,0.9538200000000001,
E1005_357,,0.71486
E562_106,0.21084,
E1488_275,0.5502,
E702_430,0.86145,
E791_198,,0.39558000000000004
E1107_212,,0.42368999999999996
E494_2,0.00201,
E654_431,0.86345,
E481_247,0.49398000000000003,
E1189_286,,0.57229
E626_152,0.30321,
E1216_474,0.9498,
E1946_336,0.67269,
E1467_218,,0.43573999999999996
E548_278,0.5562199999999999,
E901_137,0.27309,
E1447_435,0.87149,
E955_242,0.48394,
E769_366,0.73293,
E384_26,0.0502,
E1072_94,0.18675,
E234_243,0.48594,
E1258_335,0.67068,
E560_62,,0.12249000000000002
E421_107,,0.21285
E363_89,0.17670999999999998,
E729_292,0.58434,
E914_99,0.19679000000000002,
E1347_341,0.6827300000000001,
E549_86,0.17068,
E500_118,0.23494,
E247_469,,0.93976
E1460_326,0.65261,
E1800_21,,0.04016
E237_358,0.71687,
E748_280,0.56024,
E759_92,0.18273,
E882_455,,0.91165
E1221_325,0.6506,
E198_409,,0.8192799999999999
E557_215,0.42972,
E1681_423,0.84739,
E1713_70,0.13855,
E942_434,0.8694799999999999,
E1706_13,0.0241,
E1730_218,,0.43573999999999996
E407_447,0.8955799999999999,
E383_169,0.33735,
E1339_141,,0.28112
E287_148,0.29518,
E1845_48,,0.09437999999999999
E616_33,0.06426,
E1883_273,0.54618,
E243_314,0.62851,
E1094_249,0.49799,
E516_209,0.41767,
E8_132,0.26305,
E1532_402,0.8052199999999999,
E552_353,0.7068300000000001,
E1662_77,0.15261,
E908_264,0.5281100000000001,
E1792_492,0.9859399999999999,
E38_381,0.76305,
E467_386,,0.7730899999999999
E1468_14,0.0261,
E722_446,,0.8935700000000001
E145_413,0.82731,
E1967_469,0.93976,
E1834_227,0.45382,
E1701_125,,0.249
E672_425,,0.85141
E1891_467,,0.93574
E986_73,,0.14458
E1965_424,0.8494,
E956_38,,0.0743
E848_477,0.9558200000000001,
E1276_358,0.71687,
E484_221,,0.44177
E522_236,,0.47189
E404_27,,0.05221
E1969_497,,0.99598
E843_208,0.41566000000000003,
E806_204,,0.40763
E713_95,0.18875999999999998,
