Gene1,Gene2,EdgeWeight
GATA4,GATA4,-5.930462837219238
GATA4,HDAC2,-4.8939173221588135
GATA4,HDAC3,-4.0993733406066895
GATA4,EIF2S2,-5.8644561767578125
GATA4,TXNDC5,-4.023266792297363
GATA4,SEC24A,-5.893958568572998
GATA4,TRP53,-2.240747809410095
GATA4,ADGRA2,-5.6841535568237305
GATA4,RAF1,-4.554371118545532
GATA4,TMEM9B,-5.753386974334717
GATA4,RAD21,-3.5874667167663574
GATA4,TIMP3,-4.563624382019043
GATA4,FAM114A1,-4.458755016326904
GATA4,PDGFRA,-5.792331695556641
GATA4,GLI1,-6.773300647735596
GATA4,RFFL,-6.313887596130371
GATA4,TMEM59,-4.415581941604614
GATA4,GDPD5,-7.089539527893066
GATA4,RBPMS2,-5.074266195297241
GATA4,SERPINH1,-3.4162817001342773
GATA4,FGF10,-3.6267048120498657
GATA4,RAB2A,-4.716458559036255
GATA4,SEC11A,-6.497861623764038
GATA4,OOEP,-5.095037460327148
GATA4,GLIPR2,-4.966318607330322
GATA4,CHD7,-4.7762980461120605
GATA4,KAT5,-2.652109742164612
GATA4,GHR,-5.198683023452759
GATA4,NACC1,-5.866341829299927
GATA4,GOT1,-3.966048002243042
GATA4,PXDN,-4.613334655761719
GATA4,RCC2,-4.236062049865723
GATA4,APEX1,-5.459313631057739
GATA4,NFYA,-4.654947757720947
GATA4,MYDGF,-4.876572370529175
GATA4,TDH,-5.367843389511108
GATA4,JARID2,-3.2878143787384033
GATA4,ZIC3,-6.624918460845947
GATA4,SURF4,-4.595941543579102
GATA4,DERL1,-5.388768196105957
GATA4,RIF1,-2.5094202756881714
GATA4,NELFA,-5.031366586685181
GATA4,DPF2,-5.525264263153076
GATA4,THAP11,-5.317384719848633
GATA4,GGA2,-4.3741888999938965
GATA4,TCF15,-6.00210428237915
GATA4,GFPT2,-5.734073638916016
GATA4,PDE4DIP,-6.120418310165405
GATA4,CHST15,-3.520191788673401
GATA4,UBTF,-4.480977535247803
GATA4,CARHSP1,-5.542630672454834
GATA4,FBXW8,-4.955625534057617
GATA4,GNAI3,-6.490363836288452
GATA4,MRAS,-4.4988555908203125
GATA4,KLF5,-5.421860218048096
GATA4,GABBR1,-4.571919918060303
GATA4,KLF4,-4.321543216705322
GATA4,SPARC,-5.914388179779053
GATA4,EHMT2,-4.919327735900879
GATA4,COPB1,-5.762159109115601
GATA4,IER2,-4.043751239776611
GATA4,GCNT2,-4.315035820007324
GATA4,PDIA6,-5.615443706512451
GATA4,KCTD10,-6.550421476364136
GATA4,CHD4,-7.161586761474609
GATA4,APPBP2,-6.0918662548065186
GATA4,NRF1,-4.954687118530273
GATA4,TMEM30A,-5.173273801803589
GATA4,SNRPN,-3.9536521434783936
GATA4,AKT1,-5.267986536026001
GATA4,DMAP1,-3.6338388919830322
GATA4,FKBP9,-4.4073405265808105
GATA4,FN1,-4.6493449211120605
GATA4,COBL,-7.522977113723755
GATA4,PCOLCE,-5.896796464920044
GATA4,ZFHX3,-3.8457353115081787
GATA4,UBQLN2,-4.238581418991089
GATA4,GNS,-4.626797437667847
GATA4,TMEM214,-5.776671409606934
GATA4,XBP1,-5.899689674377441
GATA4,CBX8,-5.888171434402466
GATA4,OGT,-5.677953481674194
GATA4,SELENON,-4.715543746948242
GATA4,COTL1,-4.765900135040283
GATA4,SUPT5,-3.722848653793335
GATA4,CMKLR1,-4.332693815231323
GATA4,NAA10,-5.772993564605713
GATA4,SELENOM,-4.2128050327301025
GATA4,RAD23B,-5.6676859855651855
GATA4,NMNAT2,-4.07564651966095
GATA4,SH3GLB1,-2.547731637954712
GATA4,HMGA1,-4.278933763504028
GATA4,PECAM1,-4.34026837348938
GATA4,EPOP,-6.29766058921814
GATA4,PCOLCE2,-3.273987293243408
GATA4,PDIA3,-4.9747326374053955
GATA4,MAGED1,-5.536040782928467
GATA4,MFSD1,-4.168505668640137
GATA4,ELL2,-4.399908065795898
GATA4,TGOLN1,-5.296594142913818
GATA4,AVG,-25.4065580368042
HDAC2,GATA4,-7.46272087097168
HDAC2,HDAC2,-8.942833423614502
HDAC2,HDAC3,-7.83346152305603
HDAC2,EIF2S2,-5.30855131149292
HDAC2,TXNDC5,-3.5625319480895996
HDAC2,SEC24A,-6.4475719928741455
HDAC2,TRP53,-4.1424877643585205
HDAC2,ADGRA2,-2.7554928064346313
HDAC2,RAF1,-3.5780577659606934
HDAC2,TMEM9B,-3.738415241241455
HDAC2,RAD21,-5.037686109542847
HDAC2,TIMP3,-6.547587871551514
HDAC2,FAM114A1,-4.264406085014343
HDAC2,PDGFRA,-7.409378290176392
HDAC2,GLI1,-5.511065721511841
HDAC2,RFFL,-3.0270819664001465
HDAC2,TMEM59,-7.009745359420776
HDAC2,GDPD5,-9.711146831512451
HDAC2,RBPMS2,-3.028796434402466
HDAC2,SERPINH1,-9.316236972808838
HDAC2,FGF10,-2.6878308057785034
HDAC2,RAB2A,-5.532812833786011
HDAC2,SEC11A,-5.0731401443481445
HDAC2,OOEP,-3.9540915489196777
HDAC2,GLIPR2,-6.700762510299683
HDAC2,CHD7,-5.4280104637146
HDAC2,KAT5,-4.040900945663452
HDAC2,GHR,-3.2805192470550537
HDAC2,NACC1,-4.352541923522949
HDAC2,GOT1,-3.5515689849853516
HDAC2,PXDN,-6.1475372314453125
HDAC2,RCC2,-4.0833845138549805
HDAC2,APEX1,-4.219620227813721
HDAC2,NFYA,-5.222292184829712
HDAC2,MYDGF,-3.635038137435913
HDAC2,TDH,-3.0052454471588135
HDAC2,JARID2,-3.067707896232605
HDAC2,ZIC3,-5.680237531661987
HDAC2,SURF4,-6.363924264907837
HDAC2,DERL1,-3.625833749771118
HDAC2,RIF1,-5.231048822402954
HDAC2,NELFA,-6.779836654663086
HDAC2,DPF2,-3.2889347076416016
HDAC2,THAP11,-4.77006459236145
HDAC2,GGA2,-2.8465375900268555
HDAC2,TCF15,-3.9166945219039917
HDAC2,GFPT2,-5.127033710479736
HDAC2,PDE4DIP,-3.346977472305298
HDAC2,CHST15,-1.4089805483818054
HDAC2,UBTF,-6.060297250747681
HDAC2,CARHSP1,-3.1605224609375
HDAC2,FBXW8,-3.889928102493286
HDAC2,GNAI3,-3.655124545097351
HDAC2,MRAS,-1.394402801990509
HDAC2,KLF5,-1.693713128566742
HDAC2,GABBR1,-2.4344571828842163
HDAC2,KLF4,-5.070470571517944
HDAC2,SPARC,-3.6230568885803223
HDAC2,EHMT2,-4.316123008728027
HDAC2,COPB1,-3.1051031351089478
HDAC2,IER2,-4.467871427536011
HDAC2,GCNT2,-2.884143352508545
HDAC2,PDIA6,-3.362992286682129
HDAC2,KCTD10,-3.6168384552001953
HDAC2,CHD4,-4.178636074066162
HDAC2,APPBP2,-2.8638498783111572
HDAC2,NRF1,-3.978856086730957
HDAC2,TMEM30A,-5.123844861984253
HDAC2,SNRPN,-1.6989728212356567
HDAC2,AKT1,-4.432794094085693
