Gene1,Gene2
AFF3,SUPT5
AFF3,POU5F1
AFF3,CBX3
AFF3,NELFA
AFF3,CHMP4B
AFF3,ZFP143
AFF3,KMT2B
AFF3,HMGA1
AFF3,NCAPH2
AFF3,KCTD10
AFF3,HSP90AB1
AFF3,TET3
AFF3,PDIA5
AFF3,BRD2
AFF3,GABARAP
AFF3,FUT8
AFF3,TGIF2
AFF3,ZFHX3
AFF3,TLE4
AFF3,ZFP384
AFF3,RASGRP2
AFF3,ELL
AFF3,UPP1
AFF3,KMT2D
AFF3,INO80
AFF3,HEXIM1
AFF3,ADAM19
AFF3,PTOV1
AFF3,TBRG1
AFF3,CREB3
AFF3,TXNDC12
AFF3,TAF3
AFF3,SLC25A4
AFF3,MSL2
AFF3,ATP6V0A1
AFF3,TBP
AFF3,MBD3
AFF3,ZIC3
AFF3,KMT2C
AFF3,KLF2
AFF3,CTDSPL
AFF3,DMAP1
AFF3,MSH6
AFF3,PCGF2
AFF3,MPHOSPH8
AFF3,JUN
AFF3,HSP90AA1
AFF3,DUSP27
AFF3,FNDC3B
AFF3,KDM5B
AFF3,RBBP7
AFF3,CDK9
AFF3,MAPKAPK2
AFF3,HIRIP3
AFF3,APPBP2
AFF3,USP28
AFF3,FBLIM1
AFF3,GCNT2
AFF3,COPA
AFF3,SLC35F5
AFF3,COTL1
AFF3,UTP14A
AFF3,SUMO2
AFF3,PNP
AFF3,GLI1
AFF3,OAT
AFF3,RRBP1
AFF3,PAFAH1B3
AFF3,ARID1A
AFF3,TDG
AFF3,RNF138
AFF3,CDC42SE2
AFF3,MORC3
AFF3,SETD1A
AFF3,USP16
AFF3,UBQLN2
AFF3,KRT42
AFF3,SSR1
AFF3,SEC11A
AFF3,POLE4
ARID1A,MSH6
ARID1A,GSTA4
ARID1A,UPP1
ARID1A,GCNT2
ARID1A,LAMC1
ARID1A,NR5A2
ARID1A,SLC7A3
ARID1A,SERPING1
ARID1A,TGIF2
ARID1A,HSPB1
ARID1A,IFITM1
ARID1A,RNF2
ARID1A,POLE4
ARID1A,USP28
ARID1A,SH3PXD2B
ARID1A,PTPN14
ARID1A,MBD3
ARID1A,ELL
ARID1A,HMGA1
ATF7IP,TBRG1
BRD2,CDC5L
BRD2,GSTA4
BRD2,KCTD10
BRD2,POLE4
BRD2,COPA
BRD2,ZFP143
BRD2,MSL2
BRD2,SUPT5
BRD2,ATP6V0A1
BRD2,INO80
BRD2,DPY30
BRD2,TAF3
BRD2,NCAPH2
BRD2,MORC3
BRD2,NELFA
BRD2,SUMO2
BRD2,CBX3
BRD2,HIRIP3
BRD2,ERP29
BRD2,HEXIM1
BRD2,SSR1
BRD2,FUT8
BRD2,HSPA4
BRD2,ARFGAP1
BRD2,DDX21
BRD2,DMAP1
BRD2,KMT2B
BRD2,MPHOSPH8
BRD2,GFPT1
BRD2,KMT2D
BRD2,TAF2
BRD2,CALU
BRD2,MBD3
BRD2,LRRC59
BRD2,LEO1
BRD2,CNOT3
BRD2,GLO1
BRD2,RPN2
BRD2,USP16
BRD2,RAD21
BRD2,B2M
BRD2,BTAF1
BRD2,ATF7IP
BRD2,APPBP2
BRD2,TDG
BRD2,MAFK
BRD2,TBRG1
BRD2,ACBD3
BRD2,HSP90AA1
BRD2,ARID1A
BRD2,CDC42SE2
BRD2,SLC25A4
BRD2,RNF138
BRD2,ACTL6A
BRD2,ZFP384
BRD2,SLC35F5
BRD2,TET2
BRD2,PRDX4
BRD2,HSP90AB1
BRD2,DNAJC10
BRD2,SEC11A
BRD2,GABARAP
BRD2,ELL
BRD2,MSH6
BRD2,PPIB
BRD2,OAT
BRD2,SETD1A
BRD2,COPB1
BRD2,JUN
BRD2,RRBP1
BRD2,RPP25
BRD2,ARFIP1
BRD2,GDF3
BRD2,KDM4C
BRD2,CDK9
BRD2,RBBP7
BRD2,KDELR2
BRD2,TBP
BRD2,ZFP322A
BRD2,RBMXL2
BRD2,SLC7A6
BRD2,CREB3
BRD2,TLE4
BRD2,EXT2
BRD2,PNP
BRD2,BRD2
BRD2,UBQLN2
BRD2,RYBP
BRD2,PARD6B
BRD2,RNF2
BRD2,HELB
BRD2,USP28
BRD2,TGIF2
BRD2,TXNDC12
BRD2,PTOV1
BRD2,UTP14A
BRD2,TMEM9B
BRD2,HMGA1B
BRD2,HMGA1
BRD2,KMT2C
BRD2,SEC23A
BRD2,KLF2
BRD2,TET3
BRD2,KDM5B
BRD2,TIMP2
BRD2,FBLIM1
BRD2,CHMP4B
BRD2,FNDC3B
BRD2,MOB3B
BRD2,QSOX1
BRD2,TMEM144
BRD2,REEP5
BRD2,PAFAH1B3
BRD2,ETV4
BRD2,GDPD5
BRD2,GGTA1
BRD2,LAMC1
BRD2,ZFP57
BRD2,B4GALNT4
BRD2,CAR2
BRD2,FLRT3
BRD2,NR4A1
BRD2,UPP1
BRD2,DPPA4
BRD2,ZFHX3
BRD2,TBX3
BRD2,MPRIP
BRD2,REST
BRD2,SLC7A3
BRD2,ITPK1
BRD2,FGD1
BRD2,STARD10
BRD2,ALG13
BRD2,HSPB1
BTAF1,KMT2C
BTAF1,PDIA5
BTAF1,MORC3
BTAF1,BTAF1
BTAF1,ZFP384
BTAF1,MBD3
BTAF1,POLE4
BTAF1,HSP90AA1
BTAF1,KMT2B
BTAF1,MYLPF
BTAF1,GDPD5
BTAF1,HSP90AB1
BTAF1,HSPA4
BTAF1,COPB1
BTAF1,RPN2
BTAF1,FBLIM1
BTAF1,NELFA
BTAF1,PTOV1
BTAF1,SSR1
BTAF1,ARID1A
BTAF1,APPBP2
BTAF1,TXNDC12
BTAF1,SUPT5
BTAF1,SETD1A
BTAF1,TDG
BTAF1,CAR2
BTAF1,OAT
BTAF1,INO80
BTAF1,CNOT3
BTAF1,ZFP143
BTAF1,KLF5
BTAF1,MAPKAPK2
BTAF1,ITPK1
BTAF1,LAMC1
BTAF1,RPP25
BTAF1,KDM4C
BTAF1,RNF2
BTAF1,CREB3
BTAF1,USP16
BTAF1,MPRIP
BTAF1,ITGA6
BTAF1,EXT2
BTAF1,ZFHX3
BTAF1,CHMP4B
BTAF1,FAM129B
BTAF1,RAD21
BTAF1,KLF2
BTAF1,PARD6B
BTAF1,B4GALNT4
BTAF1,KDM5B
BTAF1,LDLRAP1
BTAF1,RYBP
BTAF1,NR4A1
BTAF1,SLC25A4
BTAF1,DNAJC10
BTAF1,TEX264
BTAF1,KMT2D
BTAF1,TET3
BTAF1,TYRO3
BTAF1,MSH6
BTAF1,SLC7A6
BTAF1,LEO1
BTAF1,ADAM23
BTAF1,ZFP217
BTAF1,TMEM9B
BTAF1,PPIB
BTAF1,CDC5L
BTAF1,CDC42SE2
BTAF1,TET2
BTAF1,KDELR2
BTAF1,MSL2
BTAF1,TIMP2
BTAF1,ACBD3
BTAF1,TBX3
BTAF1,SH3PXD2B
BTAF1,LRRC59
BTAF1,ALDH2
BTAF1,ACTL6A
BTAF1,DPY30
BTAF1,RASGRP2
BTAF1,ERP29
BTAF1,USP28
BTAF1,SPNS2
BTAF1,RNF138
BTAF1,HSPB1
BTAF1,SUMO2
BTAF1,PTPN14
BTAF1,ETV4
BTAF1,REST
BTAF1,ZFP57
BTAF1,SLC35F5
BTAF1,GNG10
BTAF1,RARG
BTAF1,CDK9
BTAF1,MAFK
BTAF1,RRBP1
BTAF1,RBMXL2
BTAF1,STARD10
BTAF1,ALG13
BTAF1,KCTD10
BTAF1,RXRA
BTAF1,TLE4
BTAF1,TAF3
BTAF1,DRAM1
BTAF1,ATF7IP
BTAF1,FUT8
BTAF1,COTL1
BTAF1,BEND5
BTAF1,FST
BTAF1,GGTA1
BTAF1,OBSL1
BTAF1,SERPING1
BTAF1,DDX21
BTAF1,AFF3
BTAF1,ELL
BTAF1,UTF1
BTAF1,REEP5
BTAF1,CREB3L2
BTAF1,PXDN
BTAF1,CBX3
BTAF1,TBP
BTAF1,UBQLN2
BTAF1,FNDC3B
BTAF1,TGIF2
BTAF1,AKT1
BTAF1,MPHOSPH8
BTAF1,CDH6
BTAF1,HDAC3
BTAF1,PAFAH1B3
BTAF1,GLI1
BTAF1,CTDSPL
BTAF1,QSOX1
BTAF1,ESRRB
BTAF1,GFPT1
BTAF1,P3H2
BTAF1,RBBP7
BTAF1,EPHA1
BTAF1,TAF2
BTAF1,ARFIP1
BTAF1,PCGF2
BTAF1,JUN
BTAF1,FGD1
BTAF1,MOB3B
BTAF1,ADAM19
BTAF1,HMGA1B
BTAF1,HMGA1
BTAF1,PRDX4
BTAF1,ZFP322A
BTAF1,SEC23A
BTAF1,GPC6
BTAF1,PCBD1
BTAF1,GDF3
BTAF1,UPP1
BTAF1,NCAPH2
BTAF1,CALU
BTAF1,GLO1
BTAF1,SELENOM
BTAF1,EPAS1
BTAF1,ATP6V0A1
BTAF1,ARFGAP1
BTAF1,DMAP1
BTAF1,HELB
BTAF1,ZIC3
BTAF1,BRD2
BTAF1,TET1
BTAF1,MBNL2
BTAF1,TBRG1
BTAF1,DUSP9
BTAF1,SEC11A
BTAF1,AU018091
BTAF1,KRT42
BTAF1,POU5F1
BTAF1,HNF1B
BTAF1,SMARCA2
BTAF1,PNP
CBX3,ATF7IP
CBX3,ZFP143
CBX3,FUT8
CDK9,POLE4
CDK9,DMAP1
CDK9,HSP90AB1
CDK9,NELFA
CDK9,COPB1
CDK9,CDC42SE2
CDK9,LRRC59
CDK9,SUMO2
CDK9,HSPA4
CDK9,MORC3
CDK9,KLF2
CDK9,HELB
CDK9,MBD3
CDK9,ARID1A
CDK9,PNP
CDK9,KMT2C
CDK9,KMT2D
CDK9,ELL
CDK9,ATP6V0A1
CDK9,DDX21
CDK9,LDLRAP1
CDK9,QSOX1
CDK9,TBRG1
CDK9,LAMC1
CDK9,BTAF1
CDK9,ADAM19
CDK9,USP28
CDK9,PAFAH1B3
CDK9,KDM5B
CDK9,FNDC3B
CDK9,IFITM1
CDK9,RRBP1
CDK9,GDPD5
CDK9,SELENOM
CDK9,SERPING1
CDK9,SEC23A
CDK9,RNF2
CDK9,GCNT2
CDK9,UPP1
CDK9,GLI1
CDK9,GSTA4
CDK9,TGIF2
CDK9,ALDH2
CDK9,TMEM144
CDK9,TAF3
DDX21,NELFA
DDX21,TLE4
DDX21,CHMP4B
DDX21,PDIA5
DDX21,KMT2B
DDX21,CDK9
DDX21,HEXIM1
DDX21,TXNDC12
DDX21,SUPT5
DDX21,ARFGAP1
DDX21,CREB3
DDX21,ZFP384
DDX21,HIRIP3
DDX21,GLO1
DDX21,PPIB
DDX21,RAD21
DDX21,LRRC59
DDX21,SETD1A
DDX21,ACTL6A
DDX21,HSPA4
DDX21,TAF3
DDX21,TBP
DDX21,DMAP1
DDX21,USP16
DDX21,ACBD3
DDX21,ZFP143
DDX21,INO80
DDX21,COPA
DDX21,RPN2
DDX21,ARFIP1
DDX21,PTOV1
DDX21,CDC5L
DDX21,COPB1
DDX21,TDG
DDX21,NCAPH2
DDX21,DNAJC10
DDX21,BTAF1
DDX21,MPHOSPH8
DDX21,KMT2D
DDX21,HSP90AA1
DDX21,DPY30
DDX21,DDX21
DDX21,KDELR2
DDX21,MORC3
DDX21,KCTD10
DDX21,SEC11A
DDX21,TAF2
DDX21,MPRIP
DDX21,SLC35F5
DDX21,TMEM9B
DDX21,TBRG1
DDX21,UTP14A
DDX21,POLE4
DDX21,ERP29
DDX21,APPBP2
DDX21,RCN3
DDX21,MBD3
DDX21,SSR1
DDX21,SEC23A
DDX21,PARD6B
DDX21,ATP6V0A1
DDX21,CALU
DDX21,ZFP322A
DDX21,LEO1
DDX21,EXT2
DDX21,KMT2C
DDX21,ELL
DDX21,RNF138
DDX21,CNOT3
DDX21,MSL2
DDX21,RBMXL2
DDX21,COTL1
DDX21,GFPT1
DDX21,SUMO2
DDX21,PAFAH1B3
DDX21,NAA10
DDX21,SLC25A4
DDX21,MSH6
DDX21,KDM4C
DDX21,QSOX1
DDX21,RNF2
DDX21,CBX3
DDX21,FUT8
DDX21,FNDC3B
DDX21,BEND5
DDX21,HSP90AB1
DDX21,KLF2
DDX21,ARID1A
DDX21,PNP
DDX21,LAMC1
DDX21,ETV4
DDX21,MAPKAPK2
DDX21,BRD2
DDX21,CDC42SE2
DDX21,MAFK
DDX21,KDM5B
DDX21,ZFP217
DDX21,ZFHX3
DDX21,LDLRAP1
DDX21,USP28
DDX21,TGIF2
DDX21,RBBP7
DDX21,SLC7A6
DDX21,TET3
DDX21,CAR2
DDX21,TEX264
DDX21,RRBP1
DDX21,KLF5
DDX21,UBQLN2
DDX21,OAT
DDX21,MOB3B
DDX21,HMGA1B
DDX21,HMGA1
DDX21,PRDX4
DDX21,ALG13
DDX21,FAM129B
DDX21,ADAM23
DDX21,TYRO3
DDX21,TIMP2
DDX21,RYBP
DDX21,HELB
DDX21,OBSL1
DDX21,MYLPF
DDX21,ITPK1
DDX21,ZFP57
DDX21,REEP5
DDX21,RPP25
DDX21,B2M
DDX21,DUSP27
DDX21,B4GALNT4
DDX21,SELENOM
DDX21,ALDH2
DDX21,ADAM19
DDX21,ATF7IP
DDX21,HDAC3
DDX21,PTPN14
DDX21,DRAM1
DDX21,JUN
DDX21,CREB3L2
DDX21,TET2
DDX21,SERPING1
DDX21,P3H2
DDX21,CDH6
DDX21,STARD10
DDX21,PCBD1
DDX21,SMARCA2
DDX21,GNG10
DDX21,TMEM144
DDX21,FBLIM1
DDX21,RXRA
DDX21,ITGA6
DDX21,SPNS2
DDX21,GPC6
DDX21,GGTA1
DDX21,GCNT2
DPPA4,FUT8
DPPA4,RPN2
DPPA4,PDIA5
DPPA4,GLO1
DPPA4,ADAM23
DPPA4,P3H2
DPPA4,EXT2
DPPA4,JUN
DPPA4,CAR2
DPPA4,SPNS2
DPPA4,TGIF2
DPPA4,BTAF1
DPPA4,TET2
DPPA4,RNF2
DPPA4,GFPT1
DPPA4,ITGA6
DPPA4,LAMC1
DPPA4,AFF3
DPPA4,ZFHX3
DPPA4,REST
DPPA4,RXRA
DPPA4,CDC5L
DPPA4,DPY30
DPPA4,RPP25
DPPA4,RRBP1
DPPA4,STARD10
DPPA4,SUMO2
DPPA4,MPRIP
DPPA4,KDELR2
DPPA4,TMEM9B
DPPA4,RBMXL2
DPPA4,RNF138
DPPA4,TAF3
DPPA4,TLE4
DPPA4,KMT2D
DPPA4,TDG
DPPA4,SETD1A
DPPA4,INO80
DPPA4,SLC25A4
DPPA4,CDC42SE2
DPPA4,ETV4
DPPA4,ITPK1
DPPA4,SLC7A6
DPPA4,PTPN14
DPPA4,KLF5
DPPA4,RYBP
DPPA4,PXDN
DPPA4,MOB3B
DPPA4,FNDC3B
DPPA4,ATF7IP
DPPA4,TIMP2
DPPA4,CALU
DPPA4,TYRO3
DPPA4,ACTL6A
DPPA4,ZFP384
DPPA4,MAPKAPK2
DPPA4,USP16
DPPA4,DNAJC10
DPPA4,CDK9
DPPA4,DDX21
DPPA4,CREB3L2
DPPA4,NELFA
DPPA4,HELB
DPPA4,SEC23A
DPPA4,TET3
DPPA4,REEP5
DPPA4,MYLPF
DPPA4,CTDSPL
DPPA4,CBX3
DPPA4,GGTA1
DPPA4,KMT2C
DPPA4,LDLRAP1
DPPA4,POLE4
DPPA4,ZFP217
DPPA4,AKT1
DPPA4,LRRC59
DPPA4,SH3PXD2B
DPPA4,COPB1
DPPA4,FAM129B
DPPA4,BEND5
DPPA4,HMGA1B
DPPA4,HMGA1
DPPA4,SSR1
DPPA4,SUPT5
DPY30,GLO1
DPY30,CDC5L
DPY30,POLE4
DPY30,KMT2C
DPY30,GFPT1
DPY30,SETD1A
DPY30,DDX21
DPY30,ACTL6A
DPY30,ETV4
DPY30,NELFA
DPY30,CREB3L2
DPY30,RPN2
DPY30,KMT2B
DPY30,ZFP322A
DPY30,TXNDC12
DPY30,OAT
DPY30,MSH6
DPY30,ELL
DPY30,DPY30
DPY30,CAR2
DPY30,APPBP2
DPY30,TBRG1
