Gene1,Gene2
ARID3A,TCF3
ARID3A,MED23
ARID3A,MYMX
ARID3A,KAT8
ARID3A,GORASP2
ARID3A,GNB2
ARID3A,LRPAP1
ARID3A,B4GALT1
ARID3A,XRCC5
ARID3A,SPP1
ARID3A,OTX2
ARID3A,TRAM1
ARID3A,PTP4A1
ATRX,MED23
ATRX,GORASP2
ATRX,ELL2
ATRX,DDOST
ATRX,RAF1
ATRX,APP
ATRX,EP400
ATRX,SAP18
ATRX,DR1
ATRX,RPN1
ATRX,DERL1
ATRX,MED26
ATRX,SLC16A1
ATRX,EED
ATRX,SARAF
ATRX,EZH2
ATRX,ETV5
ATRX,E4F1
ATRX,CDC16
ATRX,PDCD6IP
ATRX,SS18
ATRX,NACC1
ATRX,ARPC2
ATRX,PDIA3
ATRX,DROSHA
ATRX,KHDC3
ATRX,BRD4
ATRX,IGFBP2
ATRX,SFRP1
ATRX,COL4A1
BRD4,RAF1
BRD4,NPM1
BRD4,RAD23B
BRD4,SMARCAD1
BRD4,HDLBP
BRD4,RAB11A
BRD4,GORASP2
BRD4,EIF2S2
BRD4,GNB2
BRD4,ATRX
BRD4,ZC3H11A
BRD4,KDM5A
BRD4,EED
BRD4,SUZ12
BRD4,PTP4A1
BRD4,PDIA3
BRD4,SS18
BRD4,SLC16A1
BRD4,CDC16
BRD4,TCF3
BRD4,RBBP5
BRD4,SMC3
BRD4,WDR11
BRD4,EZH2
BRD4,NFYA
BRD4,SMARCA4
BRD4,TMEM30A
BRD4,MED23
BRD4,ARF4
BRD4,TM9SF3
BRD4,PSEN1
BRD4,ZBTB2
BRD4,E4F1
BRD4,BSG
BRD4,ARPC2
BRD4,EP400
BRD4,METTL3
BRD4,CDK7
BRD4,DR1
BRD4,PDCD6IP
BRD4,LMF2
BRD4,NACC1
BRD4,BRD4
BRD4,ARPC5
BRD4,CBX1
BRD4,TMEM214
BRD4,P4HB
BRD4,SIRT6
BRD4,KAT8
BRD4,APEX1
BRD4,COPG1
BRD4,DDOST
BRD4,TRAM1
BRD4,RPN1
BRD4,LRPAP1
BRD4,TGOLN1
BRD4,POFUT2
BRD4,JARID2
BRD4,SAP18
BRD4,GNAI3
BRD4,DERL1
BRD4,GNAS
BRD4,SLC39A7
BRD4,XRCC5
BRD4,MYH9
BRD4,RAP1GDS1
BRD4,BMPR2
BRD4,OSTC
BRD4,CHD1
BRD4,DPF2
BRD4,DICER1
BRD4,B4GALT1
BRD4,TAX1BP3
BRD4,HDAC1
BRD4,CTSD
BRD4,NIPBL
BRD4,WDR5
BRD4,TMBIM6
BRD4,MED26
BRD4,MYC
BRD4,UBTF
BRD4,PKNOX1
BRD4,CPD
BRD4,GOT1
BRD4,DKC1
BRD4,RAB2A
BRD4,TPD52
BRD4,DROSHA
BRD4,SARAF
BRD4,KDM4A
BRD4,SSR4
BRD4,FKBP5
BRD4,ELL2
BRD4,ETV5
BRD4,VAMP8
BRD4,GXYLT1
BRD4,DAXX
BRD4,KDELR1
BRD4,NFXL1
BRD4,SLC39A1
BRD4,CRTC3
BRD4,APP
BRD4,MAX
BRD4,ZYX
BRD4,ME1
BRD4,TTC39B
BRD4,TGFBR3
BRD4,PARVA
BRD4,ZFP281
BRD4,DCTPP1
BRD4,PITPNC1
BRD4,E2F1
BRD4,CLN6
BRD4,RRAS2
BRD4,ALPL
BRD4,DAP
BRD4,ANO10
BRD4,NUCB1
BRD4,FZD5
BRD4,MED12
BRD4,CHD7
BRD4,FN1
BRD4,ARID3A
BRD4,COL4A1
BRD4,IGFBP2
BRD4,TALDO1
BRD4,APOBEC3
BRD4,SPP1
BRD4,GHR
BRD4,PCOLCE
BRD4,RARA
BRD4,FKBP9
BRD4,PLOD2
BRD4,SOAT1
BRD4,HAP1
BRD4,GLI2
BRD4,MYMX
BRD4,CTSZ
BRD4,ETV1
BRD4,EPOP
BRD4,N4BP3
BRD4,BNC2
BRD4,GLDC
BRD4,FAM114A1
BRD4,PFKP
BRD4,CBX7
BRD4,MYCN
BRD4,LY75
BRD4,ANXA4
BRD4,SALL4
BRD4,LAMA1
BRD4,COBL
BRD4,PDGFRA
BRD4,SRGN
BRD4,SNURF
BRD4,EHMT2
BRD4,NOTUM
BRD4,ZFP42
BRD4,KDELR3
BRD4,GCNT1
BRD4,NR0B1
BRD4,SFRP1
BRD4,ZFP979
BRD4,CHCHD10
BRD4,TDH
BRD4,LTBP4
BRD4,LPAR2
BRD4,HS3ST1
BRD4,PECAM1
BRD4,HSF2BP
BRD4,SLC9A6
BRD4,GATA6
BRD4,KHDC3
BRD4,DPPA2
BRD4,FGF3
BRD4,NMNAT2
BRD4,PTH1R
BRD4,FOXA2
BRD4,SEPT1
BRD4,TCL1
BRD4,MSX2
BRD4,ILDR1
BRD4,TRH
BRD4,FAM25C
CBX1,MED23
CBX1,CDC16
CBX1,DDOST
CBX1,PTP4A1
CBX1,WDR11
CBX1,TRAM1
CBX1,RAP1GDS1
CBX1,FKBP5
CBX1,EZH2
CBX1,KDM5A
CBX1,SIRT6
CBX1,HSF2BP
CBX1,GNAS
CBX1,ARF4
CBX1,RBBP5
CBX1,GORASP2
CBX1,SUZ12
CBX1,SS18
CBX1,XRCC5
CBX1,GNAI3
CBX1,ZFP979
CBX7,TGFBR3
CBX7,FGF3
CBX7,SHTN1
CBX7,SFRP1
CBX7,PTH1R
CBX7,GNAS
CBX7,APP
CBX7,COL4A1
CBX7,KHDC3
CBX7,CRTC3
CBX7,IHH
CBX7,PARVA
CBX7,PDE4DIP
CBX7,NMNAT2
CBX7,KDELR3
CBX7,ANK
CBX7,CPD
CBX7,MSX2
CBX7,NOTUM
CBX7,HS3ST1
CBX7,FAM114A1
CBX7,ANO10
CBX7,LAMA1
CBX7,GCNT1
CBX7,FOXA2
CBX7,GSN
CBX7,PDGFRA
CBX7,MCAM
CBX7,CEMIP
CBX7,GLI2
CBX7,GHR
CBX7,OTX2
CBX7,MYC
CBX7,ZYX
CBX7,LY75
CBX7,IGFBP2
CBX7,NR0B1
CBX7,GATA6
CBX7,TRH
CBX7,BNC2
CBX7,MVB12B
CBX7,CHD7
CBX7,GLDC
CBX7,ME1
CBX7,ILDR1
CBX7,NPM1
CBX7,MYMX
CBX7,CKAP4
CBX7,RAP1GDS1
CBX7,COBL
CBX7,PFKP
CBX7,DAP
CBX7,FN1
CBX7,NFXL1
CDK7,NPM1
CDK7,KDM5A
CDK7,KAT8
CDK7,RAF1
CDK7,RPN1
CDK7,MED23
CDK7,ZFP42
CDK7,POFUT2
CDK7,BSG
CDK7,BMPR2
CDK7,GXYLT1
CDK7,ZFP281
CDK7,TGOLN1
CDK7,PSEN1
CDK7,DPF2
CDK7,BRD4
CDK7,TMEM214
CDK7,GNAI3
CDK7,OSTC
CDK7,ARPC2
CDK7,SUZ12
CDK7,SLC39A1
CDK7,FN1
CDK7,EIF2S2
CHD7,LRPAP1
CHD7,SPP1
DAXX,APEX1
DAXX,CTSD
DICER1,ZFP979
DICER1,BMPR2
DICER1,ARF4
DICER1,HDLBP
DPPA2,LAMA1
DPPA2,GLDC
DPPA2,IGFBP2
DPPA2,SHTN1
DPPA2,CDC16
DPPA2,SFRP1
DPPA2,COBL
DPPA2,PTP4A1
DPPA2,GNAS
DPPA2,EPOP
DPPA2,WDR5
DPPA2,KHDC3
DPPA2,EP400
DPPA2,PDE4DIP
DPPA2,TPD52
DPPA2,SMC3
DPPA2,CPD
DPPA2,SS18
DPPA2,NACC1
DPPA2,CRTC3
DPPA2,ANK
DPPA2,TM9SF3
DPPA2,GSN
DPPA2,RRAS2
DPPA2,CKAP4
DPPA2,COL4A1
DPPA2,ME1
DPPA2,ELL2
DPPA2,BRD4
DPPA2,ZFP281
DPPA2,EZH2
DPPA2,E2F1
DPPA2,DICER1
DPPA2,TRAM1
DPPA2,FAM114A1
DPPA2,RAF1
DPPA2,RAP1GDS1
DPPA2,CHD7
DPPA2,PDIA3
DPPA2,HSF2BP
DPPA2,GORASP2
DPPA2,TGFBR3
DPPA2,HDLBP
DPPA2,DROSHA
DPPA2,GXYLT1
DPPA2,CHD1
DPPA2,MVB12B
DPPA2,APP
DPPA2,ALPL
DPPA2,PSEN1
DPPA2,PLOD2
DPPA2,RAB2A
DPPA2,SMARCAD1
DPPA2,DR1
DPPA2,DERL1
DPPA2,BNC2
DPPA2,DDOST
DPPA2,SLC16A1
DPPA2,B4GALT1
DPPA2,SUZ12
DPPA2,RPN1
DPPA2,TTC39B
DPPA2,EED
DPPA2,PFKP
DPPA2,SAP18
DPPA2,RARA
DPPA2,FKBP5
DPPA2,ARPC2
DPPA2,SEC24D
DPPA2,SMARCA4
DPPA2,NIPBL
DPPA2,DAP
DPPA2,RBBP5
DPPA2,CEMIP
DPPA2,FZD5
DPPA2,ZBTB2
DPPA2,NPM1
DPPA2,APOBEC3
DPPA2,MED23
DPPA2,MAX
DPPA2,PKNOX1
DPPA2,ZFP979
DPPA2,CTSD
DPPA2,SRGN
DR1,BSG
DR1,ALPL
DR1,PDIA3
DR1,GORASP2
DR1,PLOD2
DR1,PTP4A1
DR1,P4HB
DR1,E2F1
DR1,SLC16A1
DR1,LAMA1
DR1,GXYLT1
DR1,SFRP1
DR1,SMARCAD1
DR1,ARF4
DR1,HDLBP
DR1,WDR5
DR1,B4GALT1
DR1,EED
DR1,EP400
DR1,ETV5
DR1,CBX7
DR1,FN1
DR1,MED26
DR1,FZD5
DR1,SEC24D
DR1,FKBP5
DR1,ZFP281
DR1,HDAC1
DR1,SUZ12
DR1,ELL2
DR1,ANO10
DR1,FKBP9
DR1,ARPC2
DR1,PSEN1
DR1,PKNOX1
DR1,PFKP
DR1,TMEM214
DR1,ARPC5
DR1,RAD23B
DR1,EZH2
DR1,SMARCA4
DR1,SOAT1
DR1,BRD4
DR1,N4BP3
DR1,IGFBP2
DR1,TPD52
DR1,CDC16
DR1,NACC1
DR1,TCF3
DR1,CBX1
DR1,BMPR2
DR1,CHD1
DR1,EPOP
DR1,DR1
DR1,PDCD6IP
DR1,COBL
DR1,RRAS2
DR1,CHCHD10
DR1,POFUT2
DR1,DDOST
DR1,GLDC
DR1,DICER1
DR1,CKAP4
DR1,CLN6
DR1,RAF1
DR1,CTSZ
DR1,TTC39B
DR1,NFYA
DR1,E4F1
DR1,LY75
DR1,ME1
DR1,SAP18
DR1,SARAF
DR1,TM9SF3
DR1,SMC3
DR1,MVB12B
DR1,ZBTB2
DR1,DERL1
DR1,SLC39A7
DR1,CPD
DR1,SS18
DR1,DAP
DR1,NIPBL
DR1,CRTC3
DR1,APEX1
DR1,MYH9
DR1,CTSD
DR1,RAB2A
DR1,MYCN
DR1,BNC2
DR1,TRH
DR1,GNAI3
DR1,JARID2
DR1,GCNT1
DR1,SLC9A6
DR1,DAXX
DR1,TAX1BP3
DR1,TRAM1
DR1,RAB11A
DR1,EFEMP2
DR1,ZYX
DR1,TMEM30A
DR1,MCAM
DR1,COL4A1
DR1,RAP1GDS1
DR1,RPN1
DR1,KDELR3
DR1,NOTUM
DR1,FAM114A1
DR1,ANK
DR1,GNAS
DR1,LPAR2
DR1,RARA
DR1,KAT8
DR1,MED12
DR1,LMF2
DR1,NPM1
DR1,DROSHA
DR1,GLI2
DR1,APP
DR1,PITPNC1
DR1,SSR4
DR1,TGFBR3
DR1,HAP1
DR1,ZC3H11A
DR1,GSN
DR1,CEMIP
DR1,TALDO1
DR1,TGOLN1
DR1,KDELR1
DR1,GNB2
DR1,EHMT2
DR1,DCTPP1
DR1,KHDC3
DR1,LTBP4
DR1,OSTC
DR1,SLC39A1
DR1,KDM5A
DR1,LRPAP1
DR1,EIF2S2
DR1,NFXL1
DR1,MAX
DR1,UBTF
DR1,ATRX
DR1,GHR
DR1,FGF3
DR1,PTH1R
DR1,PARVA
DR1,GOT1
DR1,ARID3A
DR1,TMBIM6
DR1,KDM4A
DR1,CHD7
DR1,METTL3
DR1,CDK7
DR1,OOEP
DR1,SALL4
