Gene1,Gene2
BHLHE40,AURKA
BHLHE40,LONP1
BHLHE40,CKS2
BHLHE40,BHLHE40
BHLHE40,IFRD2
BHLHE40,NUDT9
BHLHE40,CANX
BHLHE40,ANLN
BHLHE40,CACYBP
BHLHE40,NAA50
BHLHE40,AP1B1
BHLHE40,LYRM4
BHLHE40,BSG
BHLHE40,PITRM1
BHLHE40,RPA1
BHLHE40,PLA2G12A
BHLHE40,RPL41
BHLHE40,SPHK1
BHLHE40,SLC16A1
BHLHE40,PKM
BHLHE40,REXO2
BHLHE40,SLC14A1
BHLHE40,BUB1B
BHLHE40,GPX1
BHLHE40,RAN
BHLHE40,GPR171
BHLHE40,MRPL37
BHLHE40,KLF1
BHLHE40,FKBP1A
BHLHE40,MCM3
BHLHE40,ST3GAL5
BHLHE40,PIK3R2
BHLHE40,STAT3
BHLHE40,GATA1
BHLHE40,MT1
BHLHE40,NCAPG2
BHLHE40,ATP7B
BHLHE40,PRELID3B
BHLHE40,EMILIN2
BHLHE40,ATAD2
BHLHE40,CENPE
BHLHE40,MRPL20
BHLHE40,PLCG2
BHLHE40,UROD
BHLHE40,STEAP3
BHLHE40,MNS1
BHLHE40,HSPD1
BHLHE40,ASNS
BHLHE40,ELF1
BHLHE40,MCM2
BHLHE40,WDHD1
BHLHE40,NDC1
BHLHE40,DNAJC11
BHLHE40,BMI1
BHLHE40,GLRX5
BHLHE40,PTDSS2
BHLHE40,EGR2
BHLHE40,ABCG4
BHLHE40,UHRF1
BHLHE40,KDM6A
BHLHE40,GATM
BHLHE40,MCM5
BHLHE40,PSMD7
BHLHE40,DUT
BHLHE40,NASP
BHLHE40,UGCG
BHLHE40,GPSM2
BHLHE40,FBXO5
BHLHE40,GYPA
BHLHE40,VIM
BHLHE40,TANGO2
BHLHE40,ATP1B2
BHLHE40,GFM1
BHLHE40,IL1RL1
BHLHE40,HARS
BHLHE40,COX7A2
BHLHE40,CES2G
BHLHE40,CLIC4
BHLHE40,CBX7
BHLHE40,TIMM50
BHLHE40,RAD51
BHLHE40,CCT6A
BHLHE40,CELA1
BHLHE40,ACAA2
BHLHE40,CAR1
BHLHE40,KNL1
BHLHE40,HEMGN
BHLHE40,SPTB
BHLHE40,PHB2
BHLHE40,UBE2C
BHLHE40,JUN
BHLHE40,SHCBP1
BHLHE40,IRF1
BHLHE40,ODC1
BHLHE40,PTCD3
BHLHE40,RANGAP1
BHLHE40,CDCA5
BHLHE40,DLST
BHLHE40,CDCA8
BHLHE40,MCM7
BHLHE40,TRIM10
BHLHE40,PGLYRP2
BHLHE40,NDUFB9
BHLHE40,TMEM14C
BHLHE40,PHF5A
BHLHE40,SATB1
BHLHE40,SSX2IP
BHLHE40,ABCB4
BHLHE40,SNCA
BHLHE40,SLC41A3
BHLHE40,STOM
BHLHE40,SPPL2B
BHLHE40,MKI67
BHLHE40,IFITM1
BHLHE40,CENPA
BHLHE40,EBF1
BHLHE40,MEIS1
BHLHE40,CASP3
BHLHE40,GCNT2
BHLHE40,CCT2
